index,rating
index_0,3.0
index_1,3.0
index_2,3.0
index_3,3.0
index_4,3.0
index_5,3.0
index_6,3.0
index_7,3.0
index_8,3.0
index_9,3.0
index_10,3.0
index_11,3.0
index_12,3.0
index_13,3.0
index_14,3.0
index_15,3.0
index_16,3.0
index_17,3.0
index_18,3.0
index_19,3.0
index_20,3.0
index_21,3.0
index_22,3.0
index_23,3.0
index_24,3.0
index_25,3.0
index_26,3.0
index_27,3.0
index_28,3.0
index_29,3.0
index_30,3.0
index_31,3.0
index_32,3.0
index_33,3.0
index_34,3.0
index_35,3.0
index_36,3.0
index_37,3.0
index_38,3.0
index_39,3.0
index_40,3.0
index_41,3.0
index_42,3.0
index_43,3.0
index_44,3.0
index_45,3.0
index_46,3.0
index_47,3.0
index_48,3.0
index_49,3.0
index_50,3.0
index_51,3.0
index_52,3.0
index_53,3.0
index_54,3.0
index_55,3.0
index_56,3.0
index_57,3.0
index_58,3.0
index_59,3.0
index_60,3.0
index_61,3.0
index_62,3.0
index_63,3.0
index_64,3.0
index_65,3.0
index_66,3.0
index_67,3.0
index_68,3.0
index_69,3.0
index_70,3.0
index_71,3.0
index_72,3.0
index_73,3.0
index_74,3.0
index_75,3.0
index_76,3.0
index_77,3.0
index_78,3.0
index_79,3.0
index_80,3.0
index_81,3.0
index_82,3.0
index_83,3.0
index_84,3.0
index_85,3.0
index_86,3.0
index_87,3.0
index_88,3.0
index_89,3.0
index_90,3.0
index_91,3.0
index_92,3.0
index_93,3.0
index_94,3.0
index_95,3.0
index_96,3.0
index_97,3.0
index_98,3.0
index_99,3.0
index_100,3.0
index_101,3.0
index_102,3.0
index_103,3.0
index_104,3.0
index_105,3.0
index_106,3.0
index_107,3.0
index_108,3.0
index_109,3.0
index_110,3.0
index_111,3.0
index_112,3.0
index_113,3.0
index_114,3.0
index_115,3.0
index_116,3.0
index_117,3.0
index_118,3.0
index_119,3.0
index_120,3.0
index_121,3.0
index_122,3.0
index_123,3.0
index_124,3.0
index_125,3.0
index_126,3.0
index_127,3.0
index_128,3.0
index_129,3.0
index_130,3.0
index_131,3.0
index_132,3.0
index_133,3.0
index_134,3.0
index_135,3.0
index_136,3.0
index_137,3.0
index_138,3.0
index_139,3.0
index_140,3.0
index_141,3.0
index_142,3.0
index_143,3.0
index_144,3.0
index_145,3.0
index_146,3.0
index_147,3.0
index_148,3.0
index_149,3.0
index_150,3.0
index_151,3.0
index_152,3.0
index_153,3.0
index_154,3.0
index_155,3.0
index_156,3.0
index_157,3.0
index_158,3.0
index_159,3.0
index_160,3.0
index_161,3.0
index_162,3.0
index_163,3.0
index_164,3.0
index_165,3.0
index_166,3.0
index_167,3.0
index_168,3.0
index_169,3.0
index_170,3.0
index_171,3.0
index_172,3.0
index_173,3.0
index_174,3.0
index_175,3.0
index_176,3.0
index_177,3.0
index_178,3.0
index_179,3.0
index_180,3.0
index_181,3.0
index_182,3.0
index_183,3.0
index_184,3.0
index_185,3.0
index_186,3.0
index_187,3.0
index_188,3.0
index_189,3.0
index_190,3.0
index_191,3.0
index_192,3.0
index_193,3.0
index_194,3.0
index_195,3.0
index_196,3.0
index_197,3.0
index_198,3.0
index_199,3.0
index_200,3.0
index_201,3.0
index_202,3.0
index_203,3.0
index_204,3.0
index_205,3.0
index_206,3.0
index_207,3.0
index_208,3.0
index_209,3.0
index_210,3.0
index_211,3.0
index_212,3.0
index_213,3.0
index_214,3.0
index_215,3.0
index_216,3.0
index_217,3.0
index_218,3.0
index_219,3.0
index_220,3.0
index_221,3.0
index_222,3.0
index_223,3.0
index_224,3.0
index_225,3.0
index_226,3.0
index_227,3.0
index_228,3.0
index_229,3.0
index_230,3.0
index_231,3.0
index_232,3.0
index_233,3.0
index_234,3.0
index_235,3.0
index_236,3.0
index_237,3.0
index_238,3.0
index_239,3.0
index_240,3.0
index_241,3.0
index_242,3.0
index_243,3.0
index_244,3.0
index_245,3.0
index_246,3.0
index_247,3.0
index_248,3.0
index_249,3.0
index_250,3.0
index_251,3.0
index_252,3.0
index_253,3.0
index_254,3.0
index_255,3.0
index_256,3.0
index_257,3.0
index_258,3.0
index_259,3.0
index_260,3.0
index_261,3.0
index_262,3.0
index_263,3.0
index_264,3.0
index_265,3.0
index_266,3.0
index_267,3.0
index_268,3.0
index_269,3.0
index_270,3.0
index_271,3.0
index_272,3.0
index_273,3.0
index_274,3.0
index_275,3.0
index_276,3.0
index_277,3.0
index_278,3.0
index_279,3.0
index_280,3.0
index_281,3.0
index_282,3.0
index_283,3.0
index_284,3.0
index_285,3.0
index_286,3.0
index_287,3.0
index_288,3.0
index_289,3.0
index_290,3.0
index_291,3.0
index_292,3.0
index_293,3.0
index_294,3.0
index_295,3.0
index_296,3.0
index_297,3.0
index_298,3.0
index_299,3.0
index_300,3.0
index_301,3.0
index_302,3.0
index_303,3.0
index_304,3.0
index_305,3.0
index_306,3.0
index_307,3.0
index_308,3.0
index_309,3.0
index_310,3.0
index_311,3.0
index_312,3.0
index_313,3.0
index_314,3.0
index_315,3.0
index_316,3.0
index_317,3.0
index_318,3.0
index_319,3.0
index_320,3.0
index_321,3.0
index_322,3.0
index_323,3.0
index_324,3.0
index_325,3.0
index_326,3.0
index_327,3.0
index_328,3.0
index_329,3.0
index_330,3.0
index_331,3.0
index_332,3.0
index_333,3.0
index_334,3.0
index_335,3.0
index_336,3.0
index_337,3.0
index_338,3.0
index_339,3.0
index_340,3.0
index_341,3.0
index_342,3.0
index_343,3.0
index_344,3.0
index_345,3.0
index_346,3.0
index_347,3.0
index_348,3.0
index_349,3.0
index_350,3.0
index_351,3.0
index_352,3.0
index_353,3.0
index_354,3.0
index_355,3.0
index_356,3.0
index_357,3.0
index_358,3.0
index_359,3.0
index_360,3.0
index_361,3.0
index_362,3.0
index_363,3.0
index_364,3.0
index_365,3.0
index_366,3.0
index_367,3.0
index_368,3.0
index_369,3.0
index_370,3.0
index_371,3.0
index_372,3.0
index_373,3.0
index_374,3.0
index_375,3.0
index_376,3.0
index_377,3.0
index_378,3.0
index_379,3.0
index_380,3.0
index_381,3.0
index_382,3.0
index_383,3.0
index_384,3.0
index_385,3.0
index_386,3.0
index_387,3.0
index_388,3.0
index_389,3.0
index_390,3.0
index_391,3.0
index_392,3.0
index_393,3.0
index_394,3.0
index_395,3.0
index_396,3.0
index_397,3.0
index_398,3.0
index_399,3.0
index_400,3.0
index_401,3.0
index_402,3.0
index_403,3.0
index_404,3.0
index_405,3.0
index_406,3.0
index_407,3.0
index_408,3.0
index_409,3.0
index_410,3.0
index_411,3.0
index_412,3.0
index_413,3.0
index_414,3.0
index_415,3.0
index_416,3.0
index_417,3.0
index_418,3.0
index_419,3.0
index_420,3.0
index_421,3.0
index_422,3.0
index_423,3.0
index_424,3.0
index_425,3.0
index_426,3.0
index_427,3.0
index_428,3.0
index_429,3.0
index_430,3.0
index_431,3.0
index_432,3.0
index_433,3.0
index_434,3.0
index_435,3.0
index_436,3.0
index_437,3.0
index_438,3.0
index_439,3.0
index_440,3.0
index_441,3.0
index_442,3.0
index_443,3.0
index_444,3.0
index_445,3.0
index_446,3.0
index_447,3.0
index_448,3.0
index_449,3.0
index_450,3.0
index_451,3.0
index_452,3.0
index_453,3.0
index_454,3.0
index_455,3.0
index_456,3.0
index_457,3.0
index_458,3.0
index_459,3.0
index_460,3.0
index_461,3.0
index_462,3.0
index_463,3.0
index_464,3.0
index_465,3.0
index_466,3.0
index_467,3.0
index_468,3.0
index_469,3.0
index_470,3.0
index_471,3.0
index_472,3.0
index_473,3.0
index_474,3.0
index_475,3.0
index_476,3.0
index_477,3.0
index_478,3.0
index_479,3.0
index_480,3.0
index_481,3.0
index_482,3.0
index_483,3.0
index_484,3.0
index_485,3.0
index_486,3.0
index_487,3.0
index_488,3.0
index_489,3.0
index_490,3.0
index_491,3.0
index_492,3.0
index_493,3.0
index_494,3.0
index_495,3.0
index_496,3.0
index_497,3.0
index_498,3.0
index_499,3.0
index_500,3.0
index_501,3.0
index_502,3.0
index_503,3.0
index_504,3.0
